blocknummer;artikelnummer;artikelalias;beschreibung;kategorie;masse;bruttopreis;blockpreis;preisgruppe;verrechenbar
BC1600937;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;300.15;225.0;0;ja
BC1600937;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;309.15;232.0;1;ja
BC1600937;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;317.65;238.0;2;ja
BC1600937;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;327.65;246.0;3;ja
BC1600937;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;337.65;253.0;4;ja
BC1600937;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;358.15;269.0;5;ja
BC1600937;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;377.65;283.0;6;ja
BC1600937;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;419.65;315.0;7;ja
BC1600937;SPU4571D;US457103;Spülenunterschrank 450mm;Unterschränke;;300.15;225.0;0;ja
BC1600937;SPU4571D;US457103;Spülenunterschrank 450mm;Unterschränke;;309.15;232.0;1;ja
BC1600937;SPU4571D;US457103;Spülenunterschrank 450mm;Unterschränke;;317.65;238.0;2;ja
BC1600937;SPU4571D;US457103;Spülenunterschrank 450mm;Unterschränke;;327.65;246.0;3;ja
BC1600937;SPU4571D;US457103;Spülenunterschrank 450mm;Unterschränke;;337.65;253.0;4;ja
BC1600937;SPU4571D;US457103;Spülenunterschrank 450mm;Unterschränke;;358.15;269.0;5;ja
BC1600937;SPU4571D;US457103;Spülenunterschrank 450mm;Unterschränke;;377.65;283.0;6;ja
BC1600937;SPU4571D;US457103;Spülenunterschrank 450mm;Unterschränke;;419.65;315.0;7;ja
BC1600937;U3071D;U307103;Unterschrank 300mm;Unterschränke;;300.15;225.0;0;ja
BC1600937;U3071D;U307103;Unterschrank 300mm;Unterschränke;;309.15;232.0;1;ja
BC1600937;U3071D;U307103;Unterschrank 300mm;Unterschränke;;317.65;238.0;2;ja
BC1600937;U3071D;U307103;Unterschrank 300mm;Unterschränke;;327.65;246.0;3;ja
BC1600937;U3071D;U307103;Unterschrank 300mm;Unterschränke;;337.65;253.0;4;ja
BC1600937;U3071D;U307103;Unterschrank 300mm;Unterschränke;;358.15;269.0;5;ja
BC1600937;U3071D;U307103;Unterschrank 300mm;Unterschränke;;377.65;283.0;6;ja
BC1600937;U3071D;U307103;Unterschrank 300mm;Unterschränke;;419.65;315.0;7;ja
BC1600937;APR4060;;*  600;Arbeitsplatten;;300.15;225.0;0;ja
BC1600937;APR4060;;*  600;Arbeitsplatten;;309.15;232.0;1;ja
BC1600937;APR4060;;*  600;Arbeitsplatten;;317.65;238.0;2;ja
BC1600937;APR4060;;*  600;Arbeitsplatten;;327.65;246.0;3;ja
BC1600937;APR4060;;*  600;Arbeitsplatten;;337.65;253.0;4;ja
BC1600937;APR4060;;*  600;Arbeitsplatten;;358.15;269.0;5;ja
BC1600937;APR4060;;*  600;Arbeitsplatten;;377.65;283.0;6;ja
BC1600937;APR4060;;*  600;Arbeitsplatten;;419.65;315.0;7;ja
BC1600938;US3071;U307101;Unterschrank 300mm;Unterschränke;;413.2;310.0;0;ja
BC1600938;US3071;U307101;Unterschrank 300mm;Unterschränke;;425.7;319.0;1;ja
BC1600938;US3071;U307101;Unterschrank 300mm;Unterschränke;;437.7;328.0;2;ja
BC1600938;US3071;U307101;Unterschrank 300mm;Unterschränke;;449.7;337.0;3;ja
BC1600938;US3071;U307101;Unterschrank 300mm;Unterschränke;;461.2;346.0;4;ja
BC1600938;US3071;U307101;Unterschrank 300mm;Unterschränke;;484.2;363.0;5;ja
BC1600938;US3071;U307101;Unterschrank 300mm;Unterschränke;;509.7;382.0;6;ja
BC1600938;US3071;U307101;Unterschrank 300mm;Unterschränke;;563.7;423.0;7;ja
BC1600938;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;413.2;310.0;0;ja
BC1600938;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;425.7;319.0;1;ja
BC1600938;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;437.7;328.0;2;ja
BC1600938;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;449.7;337.0;3;ja
BC1600938;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;461.2;346.0;4;ja
BC1600938;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;484.2;363.0;5;ja
BC1600938;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;509.7;382.0;6;ja
BC1600938;HU6071;UH607107;Unterschrank 600mm;Unterschränke;;563.7;423.0;7;ja
BC1600938;SPU10071D;US1007103;Spülenunterschrank 1000mm;Unterschränke;;413.2;310.0;0;ja
BC1600938;SPU10071D;US1007103;Spülenunterschrank 1000mm;Unterschränke;;425.7;319.0;1;ja
BC1600938;SPU10071D;US1007103;Spülenunterschrank 1000mm;Unterschränke;;437.7;328.0;2;ja
BC1600938;SPU10071D;US1007103;Spülenunterschrank 1000mm;Unterschränke;;449.7;337.0;3;ja
